ica,ingrediente,marca,empresa,,concentracion,formulacion,origen
1058,THIAMETHOXAM DIFENOCONAZOLE FLUDIOXONIL,CRUISERARROZ ,SYNGENTA S.A,,"262.5 g/L, 25 g/L, 25
g/L",SC,FRANCIA
1059,CLORPIRIFOS,NIFEREX 2.5 DP,TECNOQUIMICAS  S.A,,25 g/Kg,DP,COLOMBIA
1060,CLORPIRIFOS,NIFEREX 48 EC,TECNOQUIMICAS  S.A,,480 g/L,EC,CHINA
1061,GLIFOSATO,KALACH GREEN,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,356 g/L,SL,"CHINA
,COLOMBIA"
1062,ISOPYRAZAM,SUNJET ,SYNGENTA S.A,,125 g/L,EC,SUIZA ALEMANIA
1063,DIFECONAZOLE MADIPROPAMID,PERGADO  DZ,SYNGENTA S.A,,"250 g/L, 250 g/L",SC,ESTADOS UNIDOS
1064,DIFECONAZOL VALIDAMICINA,BRABUS 100 ME,QUIMICOS OMA S.A,,"50 g/L, 50 g/L",ME,"COLOMBIA , CHINA"
1065,DIMETHOMORPH PYRACLOSTROBIN,NARIA WG,BASF QUIMICA COLOMBIANA S.A,,"120 g/kg, 67 g/Kg",WG,ALEMANIA
1066,SAFLUFENACIL DIMETHENAMIDA,INTEGRITY  EC,BASF QUIMICA COLOMBIANA S.A,,"68 g/L, 600 g/L",EC,ESTADOS UNIDOS
1067,CIROMAZINA,PENDULO WP,TORREAGRO S.A.S,,750 g/kg,WP,"ESPAÜA, CHINA"
1068,CLETODIM,PRODYM 240 EC,PHYTOCARE S.A.S,,240 g/L,EC,CHINA
1069,FOLPET,FOLPAN 80 WP,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,800 g/kg,WP,COLOMBIA
1070,KASUGAMICINA,KASUMEX 20 SL,PHYTOCARE S.A.S,,20 g/L,SL,CHINA
1071,AZUFRE,ACOIDAL  80 WG,NUFARM COLOMBIA S.A,,800 g/Kg,WG,CHILE
1072,MANCOZEB CYMOXANIL,MANOX  72 WP,HELM ANDINA LTDA,,"640 g/Kg, 80  g/Kg",WP,"CHINA,ESPAÜA"
1073,DIFENOCONAZOLE,ESKABEL  250 EC,TRUST QUIMICA S.A.S,,250 g/L,EC,CHINA
1074,CLOMAZONE AMETRINA,SINERGE EC,FMC LATINOAMERICA S.A,,"200 g/L,300 g/L",EC,BRASIL COLOMBIA
1075,PROPINEB,HARD 70 WP,PHYTOCARE S.A.S,,700 g/kg,WP,CHINA
1076,FIPRONIL,FIPRONIL ANDINESA 250 SC,"ANDINA DE NEGOCIOS
S.A ""ANDINESA S.A""",,250 g/L,SC,CHINA
1077,TEBUCONAZOLE,FUNGIZOL INPRO 250 EC,"INDUSTRIA PRODUCTORA DE ARROZ LIMITADA  ""INPROARROZ LTDA""",,250 g/L,EC,CHINA
1078,PENOXSULAM,TRIUMPH* SC,DOW AGROSCIENCES DE COLOMBIA S.A,,240 g/L,SC,ESTADOS UNIDOS
1079,DIMETHOMORPH,VERSUS 500 SC,PHYTOCARE SAS,,500 g/L,SC,CHINA
1080,CYPROCONAZOLE,ATEMI ,SYNGENTA S.A,,100 g/L,SL,BRASIL COLOMBIA
1081,CLETHODIM,CENTURION ,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,120 g/L,EC,ESTADOS UNIDOS
1082,CLORPIRIFOS,CLORPIRICOL 4 EC,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,480 g/L,EC,CHINA
1083,ALFA CIPERMETRINA,TURNER ,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,100 g/L,EC,INDIA
1084,"2,4-D",TRINITY  867 SL,TECNOQUIMICAS S.A TQ SA,,720 g/L,SL,CHINA COLOMBIA
1085,METALDEHIDO,METALPRO 5 GR,ALTEO S.A.S,,50 g/Kg,GR,CHINA
1086,OXIFLUORFEN,TRAUCO 24 EC,ANASAC COLOMBIA LTDA,,240 g/L,EC,CHILE
1087,FIPRONIL,FIPRONIL INPRO 200 SC,"INDUSTRIA PRODUCTORA DE ARROZ LTDA "" INPROARROZ LTDA""",,200 g/L,SC,CHINA
1088,OXIFLUORFEN,DAGO EC,TORREAGRO S.A.S,,240 g/L,EC,"ESPAÜA ,CHINA"
1089,AZOXYSTROBIN,AZOXYSTROBIN INPRO 250 SC,"INDUSTRIA PRODUCTORA DE ARROZ LTDA                          ""
INPROARROZ LTDA""",,250 g/L,SC,CHINA
1090,AZOXYSTROBIN METALAXIL-M,PLENTRIX ,SYNGENTA S.A,,"322 g/L, 124 g/L",SE,ESTADOS UNIDOS
1091,ABAMECTINA,VERTIMEC   084 SC,SYNGENTA S.A,,84 g/L,SC,ESTADOS UNIDOS SUIZA
1092,DIURON,DIURON TRUST 80 WG,TRUST QUIMICA S.A.S.,,800 g/Kg,WG,CHINA
1093,CYMOXANIL MANCOZEB,CURAFED 72 WP,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,80 g/Kg,WP,INDIA
1094,CLETHODIM,MATAGRAM VECOL 120 EC,VECOL S.A.,,120 g/L,SL,CHINA
1095,IMIDACLOPRD TEBUCONAZOL,RIZZOPRID VECOL 246 FS,VECOL S.A,,"233 g/L, 13 g/L",FS,CHINA
1097,AMETRINA,AMETRINA TRUST 80 WG,TRUST QUIMICA S.A.S,,800 g/Kg,WG,CHINA
1098,TEBUCONAZOLE,KEYSOL EC,AVGUST COLOMBIA S.A.S,,250 g/L,EC,"BIOELORUSIA
,RUSIA,CHINA"
1099,PARAQUAT,GRAMOXONE SL,SYNGENTA S.A,,200 g/L,SL,COLOMBIA
1100,PYRIMETHANIL,PATAGONIA SC,ANASAC COLOMBIA LTDA,,400 g/L,SC,"CHILE , CHINA"
1101,METSUFURON METHYL,METSUFURON ANDINESA 600 WG,"ANDINA DE NEGOCIOS
S.A ""ANDINESA S.A""",,600 g/L,WG,CHINA
1102,"2,4-D AMINA",AMINA ANDINESA 720 SL,"ANDINA DE NEGOCIOS
S.A ""ANDINESA S.A""",,720 g/L,SL,CHINA
1103,METSUFURON METHYL,"METSUFURON METHYL
M.A COLOMBIA 60 WG",M.A COLOMBIA S.A.S,,600 g/Kg,WG,CHINA
1104,"2,4-D PICLORAM",MAXIMUS M.A COLOMBIA 101 SL,M.A COLOMBIA S.A.S,,"240 g/L, 64 g/L",SL,CHINA
1105,CHLOROTHALONIL,KOYAN  720 SC,C.I BANACOL S.A,,720 g/L,SC,CHINA
1106,TEBUCONAZOLE AZOXYSTROBIN,IMPERIO,ANASAC COLOMBIA LTDA,,"125 g/L, 200 g/L",SC,CHILE
1107,DIFLUFENICAN,YOGA,ANASAC COLOMBIA LTDA,,500 g/L,SC,CHILE CHINA
1108,AZOCYSTROBIN,AZOBYN 250 SC,PHYTOCARE S.A.S,,250 g/L,SC,CHINA
1109,ATRAZINA,ATRAZINA INVESA 80 WP,INVESA S.A,,800 g/Kg,WP,CHINA
1110,GLIFOSATO,BROKER 747 SG,TRUST QUIMICA S.A.S.,,747g/Kg,SG,CHINA
1111,TRICYCLAZOLE,TRICYCLAZOLE MEZFER 75 WP,MEZFER DE COLOMBIA LTDA,,750 g/Kg,WP,CHINA
1112,BISPYRIBAC SODIO,BISPYRIBAC RAINBOW 400 SC,RAINBOW AGROSCIENCES S.A.S.,,400 g/L,SC,CHINA
1113,HEXAZINONA,CICLONE 750 WG,FMC LATINOAMERICA S.A,,750 g/L,WG,CHINA
1114,FIPRONIL,SPACE ,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,200 g/L,SC,CHINA
1115,FOLPET,FOLPAN 80 WG,ADAMA ANDINA B.V. SUCURSAL COLOMIA,,800 g/Kg,WG,ISRAEL
1116,PROPICONAZOLE,PROPICONAZOLE 250 EC,DVA DE COLOMBIA LTDA,,250 g/L,EC,CHINA
1117,"2,4-D AMINA",AMINA TRUST 720 SL,TRUST QUIMICA LTDA,,720 g/L,SL,CHINA
1118,CYHALOFOP BUTIL,CYHALOFOP BUTIL RAINBOW 180 EC,RAINBOW AGROSCIENCES S.A.S.,,180 g/L,EC,CHINA
1119,TEBUCONAZOLE OROCHLORAZ AZOXISTROBIN,ALMAGOR   EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,"56 g/L, 100 g/L,200
g/L",EC,COLOMBIA ISRAEL
1120,PENDIMETALINA,PENDIMETALINA INPRO 330 EC,"INDUSTRIA PRODUCTORA DE ARROZ
S.A ""INPROARROZ S.A""",,330 g/L,EC,CHINA
1121,DIFENOCONAZOL,CANCILLER,ANASAC COLOMBIA,,250 g/L,EC,"CHILE, CHINA"
1122,CARBENDAZIM,STREAK 500 SC,FMC LATINOAMERICA S.A,,500 g/L,SC,CHINA
1123,BIFENTRINA NOVALURON,RIMON  DUO,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,"50 g/L, 50 g/L",SC,ISRAEL COLOMBIA
1124,CLORPIRIFOS,NUFOS  4 EC,CHEMINOVA AGRO DE COLOMBIA S.A,,480 g/L,EC,DINAMARCA
1125,"2,4-D AMINA",AMINA TRUST 480 SL,TRUST QUIMICA S.A.S,,480 g/L,SL,CHINA
1126,"LAMBDACIHALOTRIN
A CHLORANTRANILIPR",AMPLIGO ,SYNGENTA S.A,,"50 g/L,  100 g/L",SC,FRANCIA
1127,GLIFOSATO ISOPROPILAMINA,GLIFOCAFE GREEN,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,480 g/L,SL,CHINA
1128,TEBUCONAZOLE,ARRAY  200 EC,FMC LATINOAMERICA S.A,,200 g/L,EC,CHINA
1129,CLOMAZONE,CLOMAZONE 480 EC DVA,DVA DE COLOMBIA LTDA,,480 g/L,EC,CHINA
1130,CYMOXANIL MANCOZEB,SAÜAMIL GOLD,TALANU CHEMICAL LTDA,,"80 g/Kg , 640 g/Kg",WP,CHINA
1131,IMIDACLOPRID,APPALUS 200 SC,FMC LATINOAMERICA S.A,,200 g/L,SC,CHINA
1132,AZOXISTROBIN,TABUS  50 WG,SEMBRO S.A,,500 g/Kg,WG,"CHINA, INDIA"
1133,THIODICARB,FUTUR 375 SC,"AGROQUIMICOS SEMILLAS Y EQUIPOS DE RIEGO S.A ""AGROSER S.A""",,375 g/L,SC,VENEZUELA CHINA
1134,THIODICARB,FUTUR 350 SC,"AGROQUIMICOS SEMILLAS Y EQUIPOS DE RIEGO S.A ""AGROSER S.A""",,350 g/L,SC,VENEZUELA
1135,FENPROPIMORPH PIRACLOSTROBIN,VIVID  EC,BASF QUIMICA COLOMBIANA S.A,,"375 g/L ,100 g/L",EC,ESPAÜA
1136,AZOXISTROBIN TEBUCONAZOLE,QUATTRO  GOLD 240 SC,ROTAM AGRO COLOMBIA SAS,,"80 g/L, 160 g/L",SC,"COLOMBIA
,CHINA"
1137,CLOROTALONIL,CLOROTALONIL RAINBOW 720 SC,RAINBOW  AGROCIENCES S.A.S,,720 g/L,SC,CHINA
1138,ATRAZINA,ATRAZINA 900 WG DVA,DVA DE COLOMBIA LTDA,,900 g/Kg,WG,CHINA
1139,SULFATO DE COBRE PENTAHIDRATADO,CUFENDER,"CLABE REPRESENTACIONES COLOMBIANAS LTDA ""CLABEREP LTDA""",,270 g/L,SC,ECUADOR
1140,CYHALOFOP BUTYL ESTER,DIAFOP 180 EC,AVGUST COLOMBIA S.A.S,,180 g/L,EC,CHINA
1141,"PICLORAM+2,4-D",GANON* SL,DOW AGROSCIENCES DE COLOMBIA S.A,,"15 g/L,150 g/L",SC,COLOMBIA
1143,PROPICONAZOLE Y PROCLORAZ,MOLTO EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,"90 g/L,  400 g/L",EC,COLOMBIA
1144,KASUGAMICINA,KASU INPRO 20 SL,INPROARROZ LTDA,,20 g/L,SL,CHINA
1145,FIPRONIL,FIPRONIL MEZFER 200 SC,MEZFER DE COLOMBIA LTDA,,200 g/L,SC,CHINA
1146,BUTACLOR OXADIAZON,RONSTAR EVOLUTION,BAYER S.A,,"325 g/L,185 g/L",EC,COLOMBIA
1147,IMAZALIL,FUNGAZIL 75 SP,CLABEREP LTDA CLABE REPRESENTACIONES COLOMBIANAS LTDA,,750 g/Kg,SP,"BELGICA , CHINA"
1148,ABAMECTINA,VERLAQ 1.8 EC,"IMPORTADORA COLOMBIANA DE PRODUCTOS VETERINARIOS LTDA ""IMCOLVET """,,18 g/L,EC,ECUADOR
1149,PERMETRINA,PERMEFED 38 EC,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,380 g/L,EC,"INDIA, COLOMBIA"
1150,METHOMYL,METHOMEX 20 SL,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,200 g/L,SL,COLOMBIA
1151,TRADIMEFON,TRIADIMEFON 250 EC- DVA,DVA DE COLOMBIA LTDA,,250 g/L,EC,CHINA
1152,CAPTAN,MERPAN 48 SC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,480 g/L,SC,COLOMBIA
1153,DIMETOMORPH,DIMETOMORPH RAINBOW 50 WP,RAINBOW AGROSCIENCES S.A.S,,500 g/kg,WP,CHINA
1154,TRIFLOXYSTROBIN,NAXYS,INTEROC S.A SUCURSAL COLOMBIA,,500 g/L,WP,ECUADOR
1155,PICLORAM,NUCLEUS 240 SL,HELM ANDINA LTDA,,240 g/L,SL,"CHINA, ALEMANIA, COLOMBIA"
1156,EPOXICONAZOLE KRESOXIM METTYL,STARMIX  SC,TRUST QUIMICA S.A.S.,,"125 g/L, 125 g/L",SC,CHINA
1157,CYHALOFOP BUTYL ESTER,CYHALOFOP TRUST 180 EC,TRUST QUIMICA S.A.S,,180 g/L,EC,CHINA
1158,GLIFOSATO,VICTORIUS 48 SL,SODIAK S.A,,480 g/L,SL,CHINA
1159,KRESOMIM METIL,KRESOSIM METHYL RAINBOW 50 WG,RAINBOW AGROSCIENCES S.A.S,,500 g/L,WG,CHINA
1160,DICLOROPROPENO CLOROPICRINA,AGROCELHONE NE,KABALA TRADING COMPANY CI S.A.S,,"608 g/L , 338 g/L",SC,ESPAÜA
1161,AZOXISTROBIN,QUATTRO  250 SC,ROTAM AGRO COLOMBIA S.A.S,,250 g/L,SC,COLOMBIA CHINA
1162,METALAXIL+OXICLO RURO DE COBRE,ALTAIR WP,ANASAC COLOMBIA LTDA,,"150 g/kg, 350 g/kg",WP,"CHILE, CHINA"
1163,TEFLUBENZURON,LEPIMOLT,INTEROC S.A SUCURSAL COLOMBIA,,150 g/L,SC,"CHINA, ECUADOR"
1164,OXICLORURO DE COBRE CLORURO DE OXATETRACICLINA,KILLBACTER WP,MAYORISTAS  AGRICOLAS MAGRO S.A,,"450 g/Kg , 350 g/kg",WP,MEXICO
1165,THIAMETHOXAM LAMBDA - CYHALOTRIN,THIAMETHOXAM TOP VECOL 247 SC,EMPRESA COLOMBIANA DE PRODUCTOS VETERINARIOS S.A VECOL S.A,,"141 g/L, 106 g/L",SC,CHINA
1166,AMINOPYRALID FLUROXYPY,MAGNITUDE*,DOW AGROSCIENCES DE COLOMBIA S.A,,"40 g/L,  80 g/L",EO,COLOMBIA
1167,CLETHODIM,ATENAS,ANASAC COLOMBIA LTDA,,240 g/L,EC,"CHILE,CHINA"
1168,AZOXYSTROBIN,ROVER 50 WG,TRUST QUIMICA S.A.S.,,500 g/kg,WG,CHINA
1169,PROCHLORAZ,MIRAGE  45 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,450 g/L,EC,COLOMBIA
1170,AMETRINA,CASCABEL 80 WG,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,800 g/Kg,WG,ISRAEL
1171,CYHALOFOP BUTIL,CLIK NOVAG  180 EC,NOVAG S.A.S,,1800 g/L,EC,CHINA
1172,FIPRONIL,ALBATROSS  SEED FS,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,250 g/L,FS,COLOMBIA BRASIL
1173,AZOXYSTROBIN FLUTRIAFOL,METROPOL SC,HANSEANDINA  LIMITADA,,"200 g/L,125 gL",SC,HONG KONG CHINA
1174,OXYFLUORFEN,GALIGAN  240 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,480 g/L,EC,ISRAEL COLOMBIA
1175,CYAZOFAMIDE,RANMAN  400 SC,ISHIHARA COLOMBIA LTDA,,400 g/L,SC,FRANCIA
1176,FIPRONIL,"FIPRONIL RAINBOW 200
SC","RAINBOW
AGROSCIENCES S.A.S",,200 g/L,SC,CHINA
1177,LUFENURON,LUFENURON TRUST 50,TRUST QUIMICA S.A.S.,,50 g/L,SL,CHINA
1178,ALACHLOR,ALANEX 48 EC,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,480 g/L,EC,COLOMBIA
1179,LUFENURON,LUFENURON  RAINBOW 50 EC,RAINBOW AGROSCIENCES S.A.S,,50 g/L,EC,CHINA
1180,HALOSULFURON METHYL,GUADAÜA   75 WG,INVESA S.A,,750 g/kg,WG,CHINA
1181,AZUFRE,BALI,ANASAC COLOMBIA LTDA,,800 g/kg,WG,CHINA
1182,FLUROXYPYR MEPTYL+PICLORAM,ZELORE 160 EW,HELM ANDINA LTDA,,"80 g/L,  80 g/L",EW,"CHINA, ALEMANIA"
1183,BISPYRIBAC SODIO,BISPIREE 400 SC,MAPLOS COLOMBIA S.A.S,,400 g/L,SC,"HONG KONG
CHINA"
1184,"AZOXYSTROBIN
DODEMORPH",RITTENER,INTEROC S.A SUCURSAL COLOMBIA,,"69 g/L,333 g/L",SE,ECUADOR
1185,PENCONAZOLE,TANDEX INTEROC CUSTER,INTEROC S.A SUCURSAL COLOMBIA,,200 g/L,EW,CHINA
1186,PROPANIL,PROPANIL INPRO 480 SL,INPROARROZ S.A,,480 g/L,SC,CHINA
1187,"HALOXIFOP , METYL ESTER",VERDICTé 1400,DOW AGROSCIENCES DE COLOMBIA S.A,,108 g/L,EC,COLOMBIA
1188,"2,4-D   , PICLORAM","2,4-D+PICLORAM RAINBOW 304 SL",RAINBOW AGROSCIENCES S.A.S,,"240 g/L , 64 g/L",SL,CHINA
1189,PICLORAM,TWISTER INTEROC CUSTER,INTEROC S.A SUCURSAL COLOMBIA,,240 g/L,SL,CHINA
1190,PYRAZOSULFURON- ETIL,MISIONERO ,ANASAC COLOMBIA LTDA,,300 g/L,SC,CHILE
1191,CLETHODIM,VIASELT 120 EC,VENDEDORA DE INSUMOS AGROPECUARIOS S.A,,120 g/L,EC,CHINA
1192,CYHALOFOP BUTIL ESTER,BUZZARD EC,HANSEANDINA LTDA,,180 g/L,EC,CHINA
1193,AZOXISTROBIN,HELMSTAR 250 SC,HELM ANDINA LTDA,,250 g/L,SC,COLOMBIA ALEMANIA
1194,CARBENDAZIM,CARBENDAZIM 500 HXS ,CIBOCHEM S.A.S,,500 g/L,SC,CHINA
1195,CAPTAN,ORTHOCIDE  50% PROFICOL,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,800 g/kg,WP,COLOMBIA
1196,PROPINEB- CYMOXANIL,FUNNOMIL  760 WP,"AGROQUIMICOS SEMILLAS Y EQUIPOS DE RIEGO S.A ""AGROSER S.A""",,"700 g/Kg , 60 g/Kg",WP,VENEZUELA CHINA
1197,PROPINEB,CORNET 70 WP,TALANU CHEMICAL  LTDA,,700 g/Kg,WP,HONG KONG CHINA
1198,OXADIAZON,ARENA ,ARYSTA LIFESCIENCE COLOMBIA S.A.S,,380 g/L,SC,CHINA
1199,"IMIDACLOPRID
+BETA CYFLUTHRIN",CONNECT DUO,BAYER S.A,,"210 g/L, 90 g/L",OD,ALEMANIA COLOMBIA
1200,GLIFOSATO,ESTELARé 1280 SL,DOW AGROSCIENCES DE COLOMBIA S.A.S,,608 g/L,SL,COLOMBIA
1201,DINOTEFURAM,STAKLE 20 SG,SUMMIT AGRO COLOMBIA S.A.S,,200 g/Kg,SG,JAPON
1202,TRIDEMORF,TRIDEMORF RAINBOW 860 OL,RAINBOW AGROSCIENCES S.A.S,,860 g/L,OL,CHINA
1203,CYANTRANILIPROLE,PREZA ,DUPONT DE COLOMBIA S.A.,,100 g/L,OD,"ESTADOS UNIDOS, BRASIL"
1204,LAMBDACIHALOTRIN A,IXOTRIN 50 EC,PHYTOCARE S.A.S,,50 g/L,EC,CHINA
1205,CIMOXANIL MANCOZEB,OVER  72 WP,PHYTOCARE S.A.S,,"80 g/Kg, 640 g/Kg",WP,CHINA
1206,LUFENURON,INHIFED 50 EC,"FEDERACION DE ARROCEROS ""FEDEARROZ""",,50 g/L,EC,"INDIA
,COLOMBIA"
1207,AZOXYSTROBIN+ DIFECONAZOLE,AZOXYTOP VECOL 325 SC,"COLOMBIANA DE PRODUCTOS VETERINARIOS S.A ""VECOL S.A""",,200 g/L,SC,CHINA
1208,CIPERMETRINA,LIBREK ,RED SURCOS COLOMBIA LTDA,,250 g/L,EC,ARGENTINA
1209,CIPERMETRINA,CIPERMETRINA RAINBOW 250 EC,RAINBOW AGROSCIENCES S.A.S,,250 g/L,EC,CHINA
1210,DELTAMETRINA,DELTAFED 2.5 EC,"FEDERACION  NACIONAL DE ARROCEROS ""FEDEARROZ""",,25 g/L,EC,INDIA COLOMBIA
1211,AZOXYSTROBIN+ TEBUCONAZOLE,AZOO DUO 320 SC,AGRIMORPHO LTDA,,"125 g/L,208 g/L",SC,CHINA
1212,METALAXYL,DILIGENT 240 SC,ROTAM  AGROCHEMICAL COLOMBIA S.A.S,,240 g/L,EC,"CHINA
,COLOMBIA
,TAIWAN"
1213,TEFLOBENZURON,DAZURON 250 SC,"CLABE REPRESENTACIONES COLOMBIANAS LTDA ""CLABEREP LTDA""",,250 g/L,SC,CHINA
1214,FOSETYL ALUMINIO,FUNGAZIM 80 WP,"AGROQUIMICOS SEMILLAS Y EQUIPOS DE RIEGO S.A ""AGROSER S.A""",,800 g/Kg,WP,VENEZUELA CHINA
1215,DIMETOMORPH,IMPETU 500 SC,ROTAM AGRO COLOMBIA S.A.S,,500 g/L,SC,"CHINA, COLOMBIA"
1216,DIFLUBENZURON,HELMFLURON 240 SC,HELM ANDINA LTDA,,240 g/L,SC,"ALEMANIA, CHINA"
1217,AZOXYSTROBIN + TEBUCONAZOLE,TEBUTROBIN VECOL 300 SC,COLOMBIANA DE PRODUCTOS VETERINARIOS S.A VECOL S.A,,"100 g/L,  20 g/L",SC,CHINA
1218,OXOLINIC ACID,STARNER 20 WP,VALENT BIOSCIENCES CORPORATION,,200 g/Kg,WP,JAPON
1219,FOSFURO DE MAGNESIO,FUMICEL PLACA,ANASAC COLOMBIA LTDA,,620 g/Kg,GE,ALEMANIA
1220,GLUFOSINATO DE AMONIO,GLUFOSINATO DE AMONIO RAINBOW 200,RAINBOW AGROSCIENCES S.A.S,,200 g/L,SL,CHINA
1221,EPOXICONAZOLE,EPOXICONAZOLE RAINBOW 125 SC,RAINBOW AGROSCIENCES S.A.S,,125 g/L,SC,CHINA
1222,AZOXISTROBIN,AZOXISTROBIN RAINBOW 50 WG,RAINBOW AGROSCIENCES S.A.S,,500 g/kg,WG,CHINA
1223,IPRODIONE,FINIQUITAR  500 SC,POINT DE COLOMBIA S.A.S,,500 g/L,SC,CHINA
1224,AZOXYSTROBIN DIFECONAZOLE,PATRIARCA 325 SC,POINT DE COLOMBIA S.A.S,,"200 g/L, 125 g/L",SC,CHINA
1225,OLIGOSACARIDOS CONDENSADOS ACIDOS ORGANICOS VITAMINAS,BANADAK,"CLABE REPRESENTACIONES COLOMBIANAS LTDA ""CLABEREP LTDA""",,"1,65% P/P,
0,55%P/P,
0,11%P/P",SL,ESPAÜA
1226,DIFLUBENZURON LAMBDACIHALOTRIN A,KOMPRESSOR  SC,HANSEANDINA LTDA,,"400 g/L, 100 g/L",SC,CHINA
1227,"2,4-D",DEDALO  SL,RED SURCOS COLOMBIA LTDA,,600 g/L,SL,ARGENTINA
1228,ATRAZINA,MAIZIRAL 90 WG,ADAMA ANDINA B.V SUCURSAL COLOMBIA,,900 g/Kg,WG,"ISRAEL, CHINA"
1229,MICLOBUTANIL,ESTRUENDO  EC,ANASAC COLOMBIA LTDA,,240 g/L,EC,"CHILE, CHINA"
1230,SULFATO DE COBRE PENTAHIDRATADO Y FOSFITO DE,CERAQUINT SP,CERADIS COLOMBIA LTDA,,"102 g/Kg,  519 g/Kg",SP,COLOMBIA
1231,PYRIMETHANIL,PYRESCAL 400 SC,PHYTOCARE SAS,,400 g/L,SC,CHINA
1232,SULFATO DE COBRE PENTAHIDRATADO,ELIM  SP,CERADIS COLOMBIA LTDA,,123 g/Kg,SP,COLOMBIA
1233,"2,4-D",PROFIAMINA 720 SL,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,720 g/L,SL,COLOMBIA
1234,"2,4-D",PROFIAMINA  480 SL,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,480 g/L,SL,COLOMBIA POLONIA
1235,CAPTAN,MERPAN 80 WG,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,800 g/Kg,WG,ISRAEL
1236,LINURON,AFALON 50 WP,ADAMA ANDINA B.V. SUCURSAL COLOMBIA,,500 g/Kg,WP,ISRAEL
1237,PYRAZOSULFURON,PYRAZOSULFURON ETHYL 10 WP -DVA,DVA DE COLOMBIA LTDA,,100 g/Kg,WP,CHINA
1238,SPINETORAM,ABSOLUTE 60 EC,DOW AGROSCIENCES DE COLOMBIA S.A,,60 g/L,SC,ESTADOS UNIDOS
1239,BISPIRIBAC SODIO,MEZBAC 400 SC,MEZFER DE COLOMBIA LTDA,,400 g/L,SC,CHINA
1240,DIMETOMORPH,DIMETOMORPH 50 WP MEZFER,MEZFER DE COLOMBIA LTDA,,500 g/ Kg,WP,CHINA
1241,AZOXISTROBIN DIFENOCONAZOLE,STRONG TOP  SC,NOVAG S.A.S,,"200 g/L, 125 g/L",SC,CHINA
1242,MYCROBUTANIL,FORTALEZA  40 WP,POINT DE COLOMBIA SAS,,400 g/Kg,WP,CHINA
1243,EMAMECTIN BENZOATO,AFFIRM 05 GS,SYNGENTA S.A,,50 g/Kg,SG,"ESTADOS UNIDOS, SUIZA"
1244,TRYCICLAZOL,BASTION  750 WP,NOVAG  S.A.S,,750 g/Kg,WP,CHINA
1245,PROPANIL,PROWEED 480 EC,SHARDA COLOMBIA S.A,,480 g/L,EC,INDIA
1246,AZOXISTROBIN FLUTRIAFOL,MIXBOM 325 SC,SHARDA COLOMBIA S.A.S,,"200 g/L, 125 g/L",SC,INDIA
1247,SULFATO DE COBRE PENTAHIDRATADO SULFATO DE ZINC MONOHIDRATADO FOSFITO DE,MUSACARE SP,CERADIS COLOMBIA LTDA,,"52.9 g/Kg, 35.1 g/Kg,
544.0 g/Kg",SP,COLOMBIA
1248,FIPRONIL,FIPRONIL TRUST 200 SC,TRUST QUIMICA LTDA,,200 g/L,SC,CHINA
1249,ORTHOSULFAMURO,STRADA 50 WG,ADNICOL S.A.S,,500 g/Kg,WG,ITALIA
1250,AZOXISTROBIN CYPROCONAZOL,FORTIN 280 SC,SHARDA COLOMBIA S.A.S,,"200 g/L , 80 g/L",SC,INDIA
1251,ALFACIPERMETRINA,CARIFEND MALLA INSECTICIDA,BASF QUIMICA COLOMBIANA S.A,,150 g/M_,MALLA EN POLIESTER,VIETNAM
1252,TRICICLAZOLE,TRICIFED SEMILLA SS,FEDERACION  NACIONAL DE ARROCEROS FEDEARROZ,,7500 g/Kg,WP,COLOMBIA CHINA
1253,FLUMIOXAZIN,PLEDGE 51 WG,VALENT BIOSCIENCES CORPORATION,,510 g/Kg,WG,ESTADOS UNIDOS
1254,CLOROTALONIL,ADALTO 720 SC,PHYTOCARE S.A.S,,720 g/L,SC,CHINA
1255,DIURON AMETRINA,DIMETRIN 80 WG,"AGROQUIMICOS SEMILLAS Y EQUIPOS DE RIEGO S.A ""AGROSER S.A""",,"400 g/Kg , 400 g/Kg",WG,VENEZUELA CHINA
